name,email,city,,
mami2,mami@ssss.com,Cassa,,
Pedro Alm2,pedro@gg.com,Caracas,,
Wendy Leal2,WL@ggg.com,Maracaibo,,
mami 3,mami@ssss.com,Cassa,,
mami 4,mami@ssss.com,Cassa,,
mami 5,mami@ssss.com,Cassa,,
mami 6,mami@ssss.com,Cassa,,
mami 7,mami@ssss.com,Cassa,,
mami 8,mami@ssss.com,Cassa,,
mami 9,mami@ssss.com,Cassa,,
mami 10,mami@ssss.com,Cassa,,
mami 11,mami@ssss.com,Cassa,,
mami 12,mami@ssss.com,Cassa,,
mami 13,mami@ssss.com,Cassa,,
mami 14,mami@ssss.com,Cassa,,
mami 15,mami@ssss.com,Cassa,,
mami 16,mami@ssss.com,Cassa,,
